"province";"population";"total_area_km2";"population_density"
"Capital Federal";3075646;206.0;14930
"Buenos Aires";17541141;305907.0;57
"Catamarca";415438;101486.0;4
"Chaco";1204541;99763.0;12
"Chubut";618994;224302.0;3
"Cordoba";3760450;164708.0;23
"Corrientes";1120801;89123.0;13
"Entre Rios";1385961;78384.0;18
"Formosa";605193;75488.0;8
"Jujuy";770881;53244.0;14
"La Pampa";358428;143493.0;2
"La Rioja";393531;91494.0;4
"Mendoza";1990338;149069.0;13
"Misiones";1261294;29911.0;42
"Neuquen";664057;94422.0;7
"Rio Negro";747610;202169.0;4
"Salta";1424397;155341.0;9
"San Juan";781217;88296.0;9
"San Luis";508328;75347.0;7
"Santa Cruz";365698;244458.0;1
"Santa Fe";3536418;133249.0;27
"Santiago Del Estero";978313;136934.0;7
"Tierra del Fuego, Antartida e Islas del Atlantico Sur";173715;910324.0;0
"Tucuman";1694656;22592.0;75
