province_name,number_of_crimes,number_of_victims
Capital Federal,181430,28723
Buenos Aires,576889,131443
Catamarca,21914,7137
Cordoba,163852,45338
Corrientes,24996,4220
Chaco,30011,6505
Chubut,25425,5689
Entre Rios,49136,9935
Formosa,25732,5665
Jujuy,35376,6236
La Pampa,7478,694
La Rioja,11556,3105
Mendoza,99751,27513
Misiones,34948,6285
Neuquen,35258,4887
Rio Negro,27043,4078
Salta,133527,19444
San Juan,40762,5403
San Luis,16158,3906
Santa Cruz,12929,2611
Santa Fe,130457,31987
Santiago del Estero,35406,9647
Tucuman,60979,13408
"Tierra del Fuego, Antartida e Islas del Atlantico Sur",11670,2669
